extraction_id,status,source_id,source_date,weapon_or_archetype,weapon_hash,weapon_type,scope,change_type,old_body,new_body,body_delta_pct,old_crit,new_crit,crit_delta_pct,rpm,burst_count,charge_draw_ms,pvp_only,raw_bungie_text_or_paraphrase,assumptions,verification,notes
DMG-2024-10-08-005,Verified,SRC-2024-10-08-001,2024-10-08,Precision Sidearm,,Sidearm,PvP,Archetype crit damage,,,,63.85,64,,,1,,Yes,Precision Sidearm critical hit damage changed from 63.85 to 64.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-006,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Burst Sidearm,,Sidearm,PvP,Archetype crit damage,,,,36.5,37,,,2,,Yes,Adaptive Burst Sidearm critical hit damage changed from 36.5 to 37.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-007,Verified,SRC-2024-10-08-001,2024-10-08,Heavy Burst Sidearm,,Sidearm,PvP,Archetype crit damage,,,,47.9,48,,,2,,Yes,Heavy Burst Sidearm critical hit damage changed from 47.9 to 48.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-008,Verified,SRC-2024-10-08-001,2024-10-08,Lightweight Sidearm,,Sidearm,PvP,Archetype crit damage,,,,49.5,49.6,,,1,,Yes,Lightweight Sidearm critical hit damage changed from 49.5 to 49.6.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-009,Verified,SRC-2024-10-08-001,2024-10-08,Lightweight Submachine Gun,,Submachine Gun,PvP,Archetype base damage,10.5,10.6,,,,,900,1,,Yes,Lightweight SMG base damage changed from 10.5 to 10.6.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-010,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Submachine Gun,,Submachine Gun,PvP,Archetype base damage,10.9,11.5,,,,,900,1,,Yes,Adaptive SMG base damage changed from 10.9 to 11.5.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-011,Verified,SRC-2024-10-08-001,2024-10-08,Aggressive Submachine Gun,,Submachine Gun,PvP,Archetype crit damage,,,,23.6,23.8,,750,1,,Yes,Aggressive SMG critical hit damage changed from 23.6 to 23.8.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-012,Verified,SRC-2024-10-08-001,2024-10-08,Precision Submachine Gun,,Submachine Gun,PvP,Archetype damage,16.5,16.7,,26.8,26.7,,600,1,,Yes,Precision SMG base damage changed from 16.5 to 16.7 and crit damage changed from 26.8 to 26.7.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-013,Verified,SRC-2024-10-08-001,2024-10-08,Rapid-Fire Auto Rifle,,Auto Rifle,PvP,Archetype damage,13.4,13.5,,22.9,22.95,,720,1,,Yes,Rapid-Fire Auto Rifle base damage changed from 13.4 to 13.5 and crit damage changed from 22.9 to 22.95.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-014,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Auto Rifle,,Auto Rifle,PvP,Archetype crit damage,,,,26.5,26.25,,600,1,,Yes,Adaptive Auto Rifle critical hit damage changed from 26.5 to 26.25.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-015,Verified,SRC-2024-10-08-001,2024-10-08,Precision Auto Rifle,,Auto Rifle,PvP,Archetype damage,19,19.4,,33.6,33.95,,450,1,,Yes,Precision Auto Rifle base damage changed from 19 to 19.4 and crit damage changed from 33.6 to 33.95.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-016,Verified,SRC-2024-10-08-001,2024-10-08,High-Impact Auto Rifle,,Auto Rifle,PvP,Archetype damage,22,23,,40.1,41.4,,360,1,,Yes,High-Impact Auto Rifle base damage changed from 22 to 23 and crit damage changed from 40.1 to 41.4.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-017,Verified,SRC-2024-10-08-001,2024-10-08,Precision Hand Cannon,,Hand Cannon,PvP,Archetype damage,40.4,45.3,,70.25,70.22,,180,1,,Yes,Precision Hand Cannon base damage changed from 40.4 to 45.3 and crit damage changed from 70.25 to 70.22.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-018,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Hand Cannon,,Hand Cannon,PvP,Archetype damage,44.7,44.5,,80.3,80.1,,140,1,,Yes,Adaptive Hand Cannon base damage changed from 44.7 to 44.5 and crit damage changed from 80.3 to 80.1.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-019,Verified,SRC-2024-10-08-001,2024-10-08,Heavy Burst Hand Cannon,,Hand Cannon,PvP,Archetype damage,23.8,24,,49.6,52.8,,257,2,,Yes,Heavy Burst Hand Cannon base damage changed from 23.8 to 24 and crit damage changed from 49.6 to 52.8.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-020,Verified,SRC-2024-10-08-001,2024-10-08,Aggressive Hand Cannon,,Hand Cannon,PvP,Archetype damage,47.5,47.6,,88.1,88.05,,120,1,,Yes,Aggressive Hand Cannon base damage changed from 47.5 to 47.6 and crit damage changed from 88.1 to 88.05.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-021,Verified,SRC-2024-10-08-001,2024-10-08,Rapid-Fire Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,27.25,27.55,,540,3,,Yes,Rapid-Fire Pulse Rifle critical hit damage changed from 27.25 to 27.55.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-022,Verified,SRC-2024-10-08-001,2024-10-08,Lightweight Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,31,31.45,,450,3,,Yes,Lightweight Pulse Rifle critical hit damage changed from 31 to 31.45.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-023,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Pulse Rifle,,Pulse Rifle,PvP,Archetype damage,20,22,,36.5,36.3,,390,3,,Yes,Adaptive Pulse Rifle base damage changed from 20 to 22 and crit damage changed from 36.5 to 36.3.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-024,Verified,SRC-2024-10-08-001,2024-10-08,Heavy Burst Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,41.95,42.55,,324,2,,Yes,Heavy Burst Pulse Rifle critical hit damage changed from 41.95 to 42.55.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-025,Verified,SRC-2024-10-08-001,2024-10-08,High-Impact Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,40.1,39.6,,340,3,,Yes,High-Impact Pulse Rifle critical hit damage changed from 40.1 to 39.6.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-026,Verified,SRC-2024-10-08-001,2024-10-08,Aggressive Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,30,30.2,,450,4,,Yes,Aggressive Pulse Rifle critical hit damage changed from 30 to 30.2.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2024-10-08-027,Verified,SRC-2024-10-08-001,2024-10-08,Rapid-Fire Scout Rifle,,Scout Rifle,PvP,Archetype crit damage,,,,54.25,54.6,,260,1,,Yes,Rapid-Fire Scout Rifle critical hit damage changed from 54.25 to 54.6.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-028,Verified,SRC-2024-10-08-001,2024-10-08,Lightweight Scout Rifle,,Scout Rifle,PvP,Archetype crit damage,,,,63.85,64,,200,1,,Yes,Lightweight Scout Rifle critical hit damage changed from 63.85 to 64.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-029,Verified,SRC-2024-10-08-001,2024-10-08,Precision Scout Rifle,,Scout Rifle,PvP,Archetype base damage,38,38.5,,,,,180,1,,Yes,Precision Scout Rifle base damage changed from 38 to 38.5.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-030,Verified,SRC-2024-10-08-001,2024-10-08,Aggressive Scout Rifle,,Scout Rifle,PvP,Archetype crit damage,,,,91.1,91.8,,120,1,,Yes,Aggressive Scout Rifle critical hit damage changed from 91.1 to 91.8.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-031,Verified,SRC-2024-10-08-001,2024-10-08,High-Impact Scout Rifle,,Scout Rifle,PvP,Archetype crit damage,,,,83.8,84,,150,1,,Yes,High-Impact Scout Rifle critical hit damage changed from 83.8 to 84.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-032,Verified,SRC-2024-10-08-001,2024-10-08,Lightweight Bow,,Bow,PvP,Archetype damage,77.1,77,,123.3,123.2,,,,612,Yes,Lightweight Bow base damage changed from 77.1 to 77 and crit damage changed from 123.3 to 123.2.,Draw time varies by string and frame and should not use RPM TTK formula.,Needs Calculation,
DMG-2024-10-08-033,Verified,SRC-2024-10-08-001,2024-10-08,Choir of One,3698448090,Auto Rifle,PvP,Exotic projectile damage scalar,,,,,,10%,,,,Yes,Choir of One hip fire projectile damage against players increased by 10 percent.,Projectile damage only and does not change base Auto Rifle bullet damage.,Verified,
DMG-2025-05-06-001,Verified,SRC-2025-05-06-001,2025-05-06,High-Impact Auto Rifle,,Auto Rifle,Both,Archetype damage,23,24,,41.4,43.2,,360,1,,Unclear,High-Impact Auto Rifles increased base damage by 4 percent; body shot goes from 23 to 24 and critical hit goes from 41.4 to 43.2.,Update 8.2.6 weapon tuning row; PvP scope must be reconciled against current sandbox before applying.,Needs Verification,
DMG-2025-05-06-002,Verified,SRC-2025-05-06-001,2025-05-06,Precision Auto Rifle,,Auto Rifle,Both,Archetype damage,19.4,20,,33.95,34,,450,1,,Unclear,Precision Auto Rifles increased base damage 3 percent; body shot goes from 19.4 to 20 and critical hit goes from 33.95 to 34.,Update 8.2.6 weapon tuning row; PvP scope must be reconciled against current sandbox before applying.,Needs Verification,
DMG-2025-05-06-003,Verified,SRC-2025-05-06-001,2025-05-06,Rapid-Fire Pulse Rifle,,Pulse Rifle,Both,Archetype damage,14.5,15,,27.6,27.8,,540,3,,Unclear,Rapid-Fire Pulse Rifles increased base damage from 14.5 to 15 and precision damage from 27.6 to 27.8.,Burst cadence and PvP scope require verification before final TTK.,Needs Verification,
DMG-2025-05-06-004,Needs Verification,SRC-2025-05-06-001,2025-05-06,Heavy Burst Slug Shotguns,,Shotgun,Both,Damage scalar,,,8%,,,8%,,2,,Unclear,Heavy Burst Slug Shotguns increased damage by 8 percent.,Map to slug profile and confirm PvP scope before calculating TTK.,Needs In-Game Test,
DMG-2025-05-06-005,Verified,SRC-2025-05-06-001,2025-05-06,Heavy Burst Hand Cannon,,Hand Cannon,Both,Falloff scalar,1.5x,1.6x,,,,,257,2,,Unclear,Heavy Burst Hand Cannons increased ADS damage falloff scalar from 1.5x to 1.6x.,Range behavior only; does not directly change base PvP damage or TTK.,Verified,
DMG-2024-08-06-001,Verified,SRC-2024-08-06-001,2024-08-06,Precision Bow,,Bow,PvP,Archetype damage,84.6,90,,126.9,130.5,,,,612,Yes,Precision Bows changed base damage from 84.6 to 90 and critical hit damage from 126.9 to 130.5 in the PvP Weapon Tuning section.,Draw time formula required instead of RPM formula.,Needs Calculation,
DMG-2024-06-04-001,Needs Verification,SRC-2024-06-04-001,2024-06-04,Machine Guns,,Machine Gun,Both,Damage scalar,,,7%,,,7%,,,,Unclear,Machine Gun damage increased by 7 percent.,Patch note is not isolated to PvP; verify player damage before applying to PvP Potential.,Needs Source Check,
DMG-2024-06-04-002,Needs Verification,SRC-2024-06-04-001,2024-06-04,Swords,,Sword,Both,Damage scalar,,,7%,,,7%,,,,Unclear,Sword damage increased by 7 percent.,Heavy melee weapon PvP applicability requires confirmation.,Needs Source Check,
DMG-2024-06-04-003,Needs Verification,SRC-2024-06-04-001,2024-06-04,Chain Reaction Special weapons,,Weapon Perk,Both,Perk damage scalar,,,-20%,,,-20%,,,,Unclear,Chain Reaction special-ammo weapon explosion damage reduced by 20 percent.,Perk explosion damage only and not base weapon damage.,Needs Source Check,
DMG-2024-06-04-004,Needs Verification,SRC-2024-06-04-001,2024-06-04,Chain Reaction Heavy weapons,,Weapon Perk,Both,Perk damage scalar,,,30%,,,30%,,,,Unclear,Chain Reaction heavy-ammo weapon explosion damage increased by 30 percent.,Perk explosion damage only and not base weapon damage.,Needs Source Check,
DMG-2024-03-05-001,Verified,SRC-2024-03-05-001,2024-03-05,Crucible Guardian HP,,Sandbox,PvP,Health baseline,200,230,15%,,,,,,,Yes,Players health in Crucible increased by 30 HP.,This is a PvP baseline change; current project target HP is 230.,Verified,
DMG-2024-03-05-002,Verified,SRC-2024-03-05-001,2024-03-05,Trace Rifles,,Trace Rifle,PvP,Archetype damage scalar,,,20%,,,20%,1000,1,,Yes,Trace Rifles increased base and critical damage by 20 percent against players excluding Divinity.,Scalar only unless old damage is known.,Needs Calculation,
DMG-2024-03-05-003,Verified,SRC-2024-03-05-001,2024-03-05,Shotguns,,Shotgun,PvP,Archetype base damage scalar,,,20%,,,20%,,,,Yes,Shotguns increased base damage by 20 percent against players excluding Legend of Acrius.,Per-pellet or slug profile needs mapping.,Needs Calculation,
DMG-2024-03-05-004,Verified,SRC-2024-03-05-001,2024-03-05,Fusion Rifles,,Fusion Rifle,PvP,Archetype base damage scalar,,,20%,,,20%,,,,Yes,Fusion Rifles increased base damage by 20 percent against players.,Bolt count and charge timing required.,Needs Calculation,
DMG-2024-03-05-005,Verified,SRC-2024-03-05-001,2024-03-05,Glaive projectile,,Glaive,PvP,Projectile damage scalar,,,20%,,,20%,,,,Yes,Glaive projectile damage increased by 20 percent against players.,Projectile only; melee handled separately.,Needs Calculation,
DMG-2024-03-05-006,Verified,SRC-2024-03-05-001,2024-03-05,Glaive melee,,Glaive,PvP,Melee damage scalar,,,-20%,,,-20%,,,,Yes,Glaive melee damage reduced by 20 percent against players.,Melee attack is not standard weapon shot TTK.,Needs Calculation,
DMG-2024-03-05-007,Verified,SRC-2024-03-05-001,2024-03-05,Machine Guns,,Machine Gun,PvP,Archetype base damage scalar,,,20%,,,20%,,,,Yes,Machine Guns increased base damage by 20 percent against players.,Heavy weapon profile needs archetype split.,Needs Calculation,
DMG-2024-03-05-008,Verified,SRC-2024-03-05-001,2024-03-05,Heavy Grenade Launcher,,Grenade Launcher,PvP,Detonation damage scalar,,,-5%,,,-5%,,,,Yes,Heavy Grenade Launcher detonation damage reduced by 5 percent against players.,Impact and detonation split required.,Needs Calculation,
DMG-2024-03-05-009,Verified,SRC-2024-03-05-001,2024-03-05,Fighting Lion,3549153978,Grenade Launcher,PvP,Damage scalar,,,-20%,,,-20%,,,,Yes,Fighting Lion damage reduced by 20 percent against players.,Exotic primary grenade launcher; exact impact and detonation split needed.,Needs Calculation,
DMG-2024-03-05-010,Verified,SRC-2024-03-05-001,2024-03-05,Devil's Ruin beam,3824106094,Sidearm,PvP,Beam damage scalar,,,-15%,,,-15%,300,1,,Yes,Devils Ruin charged beam damage reduced by 15 percent against players.,Charged beam only; base sidearm shot unchanged.,Needs Calculation,
DMG-2024-03-05-011,Verified,SRC-2024-03-05-001,2024-03-05,Forerunner,2179048386,Sidearm,PvP,Base damage scalar,,,20%,,,20%,200,1,,Yes,Forerunner base damage increased by 20 percent against players.,Exotic special sidearm profile needs exact base and body numbers.,Needs Calculation,
DMG-2023-12-19-001,Needs Verification,SRC-2023-12-19-001,2023-12-19,Checkmate weapon damage tuning,,Checkmate,PvP,Mode-specific damage tuning,,,,,,,,,,Yes,Checkmate modifiers changed weapon damage values inside Checkmate only.,Do not apply to default PvP Potential until mode-specific DB support exists.,Needs Source Check,
DMG-2023-11-28-001,Verified,SRC-2023-11-28-001,2023-11-28,Aggressive Glaive projectile,,Glaive,PvP,Projectile damage,,,123,,,,,,,Yes,Aggressive Glaive projectile PvP damage set to 123.,Projectile damage value is official; current sandbox may supersede after 7.3.5.,Needs Calculation,
DMG-2023-11-28-002,Verified,SRC-2023-11-28-001,2023-11-28,Adaptive Glaive projectile,,Glaive,PvP,Projectile damage,,,113,,,,,,,Yes,Adaptive Glaive projectile PvP damage set to 113.,Projectile damage value is official; current sandbox may supersede after 7.3.5.,Needs Calculation,
DMG-2023-11-28-003,Verified,SRC-2023-11-28-001,2023-11-28,Rapid-Fire Glaive projectile,,Glaive,PvP,Projectile damage,,,101,,,,,,,Yes,Rapid-Fire Glaive projectile PvP damage set to 101.,Projectile damage value is official; current sandbox may supersede after 7.3.5.,Needs Calculation,
DMG-2023-08-22-001,Needs Verification,SRC-2023-08-22-001,2023-08-22,Aggressive Sidearm,,Sidearm,Both,Archetype base damage,32,30,-6.25%,,,,,,,Unclear,Aggressive Sidearms reduced base damage from 32 to 30.,Patch note not isolated to PvP; preserve as historical source until current sandbox chain is resolved.,Needs Source Check,
DMG-2023-04-18-001,Verified,SRC-2023-04-18-001,2023-04-18,Rapid-Fire Fusion Rifle,,Fusion Rifle,PvP,Archetype damage,27.2,28.9,,245,260,,0,7,,Yes,Rapid-Fire Fusion Rifle burst damage changed from 245 to 260 and per-bolt damage from 27.2 to 28.9; PvE damage unchanged.,Charge time and bolt-to-kill formula required.,Needs Calculation,
DMG-2023-04-18-002,Verified,SRC-2023-04-18-001,2023-04-18,Trace Rifles,,Trace Rifle,PvP,Archetype damage,12,12.5,,16.8,16.9,,1000,1,,Yes,Trace Rifles increased base damage from 12 to 12.5 and changed crit damage from 16.8 to 16.9.,Current sandbox includes later 7.3.5 and 8.0.5-era changes; reconcile before applying.,Needs Calculation,
DMG-2022-10-18-001,Verified,SRC-2022-10-18-001,2022-10-18,Precision Auto Rifle,,Auto Rifle,PvP,Archetype crit damage,,,,30,31,,450,1,,Yes,Precision Auto Rifles increased critical damage multiplier from 1.5 to 1.55 which raises critical damage from 30 to 31.,Historical PvP value; current sandbox supersedes.,Needs Calculation,
DMG-2022-10-18-002,Verified,SRC-2022-10-18-001,2022-10-18,Adaptive Pulse Rifle,,Pulse Rifle,PvP,Archetype crit damage,,,,30.4,31.4,,390,3,,Yes,Adaptive Pulse Rifles increased precision multiplier from 1.6x to 1.65x; critical damage goes from 30.4 to 31.4.,Historical PvP value; current sandbox supersedes.,Needs Calculation,
DMG-2022-10-18-003,Verified,SRC-2022-10-18-001,2022-10-18,High-Impact Scout Rifle,,Scout Rifle,PvP,Archetype damage,42,40,,73.5,70,,150,1,,Yes,High-Impact Scout Rifles reduced body damage from 42 to 40 and critical damage from 73.5 to 70.,Historical PvP value; current sandbox supersedes.,Needs Calculation,
DMG-2022-10-18-004,Verified,SRC-2022-10-18-001,2022-10-18,Precision SMG,,Submachine Gun,PvP,Archetype damage,16,17,,22.4,23.8,,600,1,,Yes,Precision SMGs increased critical damage from 22.4 to 23.8 and base damage from 16 to 17.,Historical PvP value; current sandbox supersedes.,Needs Calculation,
DMG-2022-10-18-005,Verified,SRC-2022-10-18-001,2022-10-18,Lightweight SMG,,Submachine Gun,PvP,Archetype damage,11,10.85,,18.2,17.9,,900,1,,Yes,Lightweight SMGs reduced critical damage from 18.2 to 17.9 and base damage from 11 to 10.85.,Historical PvP value; current sandbox supersedes.,Needs Calculation,
DMG-2022-10-18-006,Verified,SRC-2022-10-18-001,2022-10-18,Lord of Wolves Release the Wolves,3413074534,Shotgun,PvP,Exotic damage mode,,,,,,,,,,Yes,Lord of Wolves removed the previous 25 percent universal base damage buff from Release the Wolves.,Mode-specific exotic behavior; use weapon-specific model only.,Needs Calculation,
DMG-2022-08-23-001,Needs Verification,SRC-2022-08-23-001,2022-08-23,Fighting Lion,3549153978,Grenade Launcher,Both,Damage scalar,,,8%,,,8%,,,,Unclear,Fighting Lion season 17 damage increase was reimplemented and slightly increased from 5 percent to 8 percent.,Historical exotic value; PvP scope should be verified before applying.,Needs Source Check,
DMG-2022-08-23-002,Verified,SRC-2022-08-23-001,2022-08-23,Lord of Wolves,3413074534,Shotgun,PvP,Exotic body damage,,35,,,,,,,,Yes,Lord of Wolves base damage was reduced by about 20 percent and now deals 35 per shot to the body in PvP.,Release the Wolves mode uses a separate 44 body-damage value.,Needs Calculation,
DMG-2022-08-23-003,Verified,SRC-2022-08-23-001,2022-08-23,Lord of Wolves Release the Wolves,3413074534,Shotgun,PvP,Exotic body damage,,44,,,,,,,,Yes,Lord of Wolves deals 44 per shot to the body in PvP with Release the Wolves active.,Burst size and burst delay changed in the same source and need weapon-specific modeling.,Needs Calculation,
DMG-2022-08-23-004,Verified,SRC-2022-08-23-001,2022-08-23,Dead Mans Tale,3654674561,Scout Rifle,PvP,Perk damage removal,,,,,,,,,,Yes,Dead Mans Tale Cranial Spike no longer buffs damage versus players.,Perk behavior only; base weapon damage unchanged.,Verified,
