source_workbook,source_sheet,source_row,weapon_family,archetype,burst_count,burst_delay_sec,rpm,crit_damage,body_damage,optimal_ttk_ms,crit_shots,body_ttk_ms,body_shots,wp_to_boost_hsttk,reference_status,verification_policy
D2WP_boost_ver1.02.xlsx,GutshotStraight,5,Scout Rifles,High Impact,1,0,150,84.41,42,50400.0,0.8,3000,2,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,6,Scout Rifles,Aggressive,1,0,120,91.58,53.99,64788.0,1,3000,2,5,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,7,Pulse Rifles,Rapid Fire,3,0.067,540,27.79,15,18000,0.8006666666666666,9000,1.645444444444444,16,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,8,Pulse Rifles,Lightweight,3,0.067,450,31.48,19.7,23640.0,0.9346666666666666,8000,1.334,12,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,9,Pulse Rifles,Adaptive,3,0.067,385.71,36.44,22,26400.0,0.8232291358792876,7000,1.5124582717585748,11,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,10,Pulse Rifles,High Impact,3,0.067,337.5,38.57,21.5,25800.0,0.6673333333333333,6000,1.6902222222222218,11,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,11,Pulse Rifles,Aggressive Burst,4,0.067,450,30.23,15.49,18588.0,0.7343333333333333,8000,1.8686666666666667,15,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,12,Pulse Rifles,Heavy Burst,2,0.067,327.27,42.61,23,27600.0,0.8003394444953709,6000,1.5336788889907416,10,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,13,Pulse Rifles,Legacy PR-55,3,0.067,450,31.48,19.7,23640.0,0.9346666666666666,8000,1.334,12,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,14,Hand Cannons,Precision,1,0,180,70.61,45.3,54360.0,1,4000,1.6666666666666665,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,15,Hand Cannons,Adaptive,1,0,138.46,79.85,44.5,53400.0,0.8666762964032934,3000,2.1666907410082334,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,16,Hand Cannons,Aggressive,1,0,120,90.85,49.03,58836.0,1,3000,2,5,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,17,Hand Cannons,Heavy Burst,2,0.067,257.14,52.93,24,28800.0,0.8340077778641986,5000,1.9336874076378627,10,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,18,Hand Cannons,Lightweight,1,0,138.46,79.85,44.5,53400.0,0.8666762964032934,3000,2.1666907410082334,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,19,Hand Cannons,Spread Shot,,0,0,0,0,0,調査中,調査中,調査中,調査中,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,20,Auto Rifles,Rapid Fire,1,0,720,23.06,13.6,16320.0,0.75,10000,1.3333333333333333,17,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,21,Auto Rifles,Adaptive,1,0,600,26.38,15.03,18036.0,0.8,9000,1.5,16,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,22,Auto Rifles,Precision,1,0,450,33.92,20,24000,0.8,7000,1.4666666666666666,12,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,23,Auto Rifles,High Impact,1,0,360,43.06,24,28800.0,0.8333333333333333,6000,1.5,10,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,24,Auto Rifles,Lightweight,1,0,720,23.06,13.6,16320.0,0.75,10000,1.3333333333333333,17,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,25,Auto Rifles,Lightweight,1,0,450,33.92,20,24000,0.8,7000,1.4666666666666666,12,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,26,Sidearms,Rapid Fire,1,0,450,39.64,25.11,30132.0,0.6666666666666666,6000,1.2,10,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,27,Sidearms,Adaptive,1,0,300,57.66,36.08,43296.0,0.6000000000000001,4000,1.2000000000000002,7,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,28,Sidearms,Precision,1,0,257.14,64.17,40.15,48180.0,0.7000077778641985,4000,1.1666796297736641,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,29,Sidearms,Adaptive Burst,3,0.067,490.91,36.44,20.09,24108.0,0.6898879835407712,7000,1.2339979629667353,12,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,30,Sidearms,Heavy Burst,2,0.067,327.27,52.86,33.08,39696.0,0.684004583371528,5000,1.0506743056192134,7,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,31,Sidearms,Lightweight,1,0,360,49.6,31.04,37248.0,0.6666666666666666,5000,1.1666666666666665,8,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,32,SMGs,Aggressive,1,0,720,23.87,13.6,16320.0,0.75,10000,1.3333333333333333,17,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,33,SMGs,Lightweight,1,0,900,20.26,10.6,12720.0,0.7333333333333333,12000,1.4,22,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,34,SMGs,Precision,1,0,600,26.45,16.55,19860.0,0.8,9000,1.3,14,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,35,SMGs,Adaptive,1,0,900,19.73,11.5,13800.0,0.7333333333333333,12000,1.2666666666666666,20,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,36,SMGs,MIDA Synergy,1,0,900,20.26,10.6,12720.0,0.7333333333333333,12000,1.4,22,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
