source_id,status,source_date,article_type,title,url,sandbox_version,scope,pvp_damage_mention,weapons_mentioned,summary,extractor,last_checked,notes
SRC-2025-12-11-001,Skipped,2025-12-11,Update,Destiny 2 Update 9.5.0.2,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0_2,update-9.5.0.2,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2025-12-09-001,Skipped,2025-12-09,Update,Destiny 2 Update 9.5.0.1,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0_1,update-9.5.0.1,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2025-12-02-001,Extracted,2025-12-02,Update,Destiny 2 Update 9.5.0,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0,update-9.5.0,Both,Yes,"New Gear; Rapid-Fire Pulse Rifles; Shotguns; Slug Shotguns; The Chaperone",Contains several weapon damage changes that are PvP-relevant or require PvP confirmation.,Codex,2026-05-25,
SRC-2025-10-21-001,Skipped,2025-10-21,Update,Destiny 2 Update 9.1.5.2,https://www.bungie.net/7/en/News/Article/destiny_update_9_1_5_2,update-9.1.5.2,Both,No,,No PvP weapon damage value found in scan.,Codex,2026-05-25,
SRC-2025-09-09-001,Extracted,2025-09-09,Update,Destiny 2 Update 9.1.0,https://www.bungie.net/7/en/News/Article/destiny_update_9_1_0,update-9.1.0,Both,Unclear,"Spreadshot Hand Cannons; Shotguns; Snipers; Crossbows",Weapon tuning found but exact PvP damage values were not provided for the listed changes.,Codex,2026-05-25,
SRC-2025-07-29-001,Extracted,2025-07-29,Update,Destiny 2 Update 9.0.0.4,https://www.bungie.net/7/en/News/Article/destiny_update_9_0_0_4,update-9.0.0.4,PvP,Yes,Weapons stat,Reduced the maximum Weapons stat damage bonus against players from 6 percent to 5 percent.,Codex,2026-05-25,
SRC-2025-07-18-001,Skipped,2025-07-18,Update,Destiny 2 Update 9.0.0.2,https://www.bungie.net/7/en/News/article/destiny_2_update_9_0_0_2,update-9.0.0.2,Both,No,,No PvP weapon damage value found in scan.,Codex,2026-05-25,
SRC-2025-07-15-001,Extracted,2025-07-15,Update,Destiny 2 Update 9.0.0.1,https://www.bungie.net/7/en/News/Article/destiny_update_9_0_0_1,update-9.0.0.1,Both,Yes,"The Navigator; Ace of Spades; Heavy Burst Shotguns; Weapon Tiering",Contains several PvP weapon damage notes and tier damage bonuses.,Codex,2026-05-25,
SRC-2025-05-06-001,Extracted,2025-05-06,Update,Destiny 2 Update 8.2.6,https://www.bungie.net/7/en/News/Article/destiny_update_8_2_6,update-8.2.6,Both,Yes,"High-Impact Auto Rifles; Precision Auto Rifles; Rapid-Fire Pulse Rifles; Heavy Burst Slug Shotguns; Heavy Burst Hand Cannons",Official weapon tuning values extracted; PvP applicability is strongest where Bungie gives player-facing damage values or sandbox context.,Codex,2026-05-25,
SRC-2024-10-08-001,Extracted,2024-10-08,Update,Destiny 2 Update 8.1.0,https://www.bungie.net/7/en/News/article/destiny_update_8_1_0,update-8.1.0,PvP,Yes,"Sidearms; Submachine Guns; Auto Rifles; Hand Cannons; Pulse Rifles; Scout Rifles; Bow; Heavy Grenade Launchers; Choir of One",Official PvP Weapon Tuning table with old and new body or crit damage values.,Codex,2026-05-25,
SRC-2024-08-06-001,Extracted,2024-08-06,Update,Destiny 2 Update 8.0.5,https://www.bungie.net/7/en/News/Article/destiny_2_update_805,update-8.0.5,PvP,Yes,Precision Bows,Official PvP Weapon Tuning row for Precision Bow base and critical damage.,Codex,2026-05-25,
SRC-2024-06-04-001,Extracted,2024-06-04,Update,Destiny 2 Update 8.0.0.1,https://www.bungie.net/7/en/News/article/destiny_2_update_8_0_0_1,update-8.0.0.1,Both,Unclear,"Machine Guns; Swords; Chain Reaction",Global weapon and perk tuning includes heavy weapon and ammo-class-specific damage scalars; PvP scope needs confirmation unless explicitly in-player context.,Codex,2026-05-25,
SRC-2024-03-05-001,Extracted,2024-03-05,Update,Destiny 2 Update 7.3.5,https://www.bungie.net/7/en/News/article/destiny_2_update_735,update-7.3.5,PvP,Yes,"Trace Rifles; Shotguns; Fusion Rifles; Glaives; Machine Guns; Heavy Grenade Launchers; Fighting Lion; Devil's Ruin; Forerunner",Major Crucible sandbox pass with Guardian HP increase and explicit special and heavy PvP damage changes.,Codex,2026-05-25,
SRC-2023-12-19-001,Extracted,2023-12-19,Update,Destiny 2 Update 7.3.0.5,https://www.bungie.net/7/en/News/article/destiny-update-7305,update-7.3.0.5,Checkmate,Yes,"Auto Rifles; Pulse Rifles; Scout Rifles; Hand Cannons; SMGs; Sidearms; Bows; Special weapons; Heavy weapons",Checkmate-specific PvP damage tuning; do not apply to normal PvP Potential without mode split.,Codex,2026-05-25,
SRC-2023-11-28-001,Extracted,2023-11-28,Update,Destiny 2 Update 7.3.0,https://www.bungie.net/7/en/News/Article/update-7-3-0-patch-notes,update-7.3.0,PvP,Yes,Glaives,Official Glaive projectile PvP damage values by frame extracted.,Codex,2026-05-25,
SRC-2023-08-22-001,Extracted,2023-08-22,Update,Destiny 2 Update 7.2.0.1,https://www.bungie.net/7/en/News/Article/season-witch-update-7-2-0-1,update-7.2.0.1,Both,Unclear,Aggressive Sidearms,Aggressive Sidearm base damage changed from 32 to 30; PvP scope not isolated in the note.,Codex,2026-05-25,
SRC-2023-04-18-001,Extracted,2023-04-18,Update,Destiny 2 Update 7.0.5.0,https://www.bungie.net/7/en/News/article/update-7050,update-7.0.5,PvP,Yes,"Rapid-Fire Fusion Rifles; Trace Rifles",Official special weapon damage values for Rapid-Fire Fusion Rifles and Trace Rifles extracted.,Codex,2026-05-25,
SRC-2022-10-18-001,Extracted,2022-10-18,Update,Destiny 2 Update 6.2.5,https://www.bungie.net/7/en/News/article/51844,update-6.2.5,PvP,Yes,"Precision Auto Rifles; Adaptive Pulse Rifles; High-Impact Scout Rifles; Precision SMGs; Lightweight SMGs; Glaive shields; Lord of Wolves",Weapon balance rows include several PvP damage values and special-weapon behavior notes.,Codex,2026-05-25,
SRC-2022-08-23-001,Extracted,2022-08-23,Update,Destiny 2 Update 6.2.0,https://www.bungie.net/7/en/News/Article/51707,update-6.2.0,PvP,Yes,"Fighting Lion; Lord of Wolves; Dead Man's Tale",Official PvP exotic weapon damage notes extracted for historical context.,Codex,2026-05-25,
